id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36690,Mo's Cozy Cabana,157752,Monique,Belize,Belize Islands,17.74832,-88.02474,Entire home/apt,111,3,452,2024-12-20,2.58,4,230,34,
120115,"Seaside Villas 4 2nd Flr - Pool, Beach, Jacuzzi",604999,Bobbi,Belize,Belize Islands,17.74166,-88.02395,Entire home/apt,603,2,68,2024-11-05,0.73,19,242,11,
120116,Valarosa - Sweet cottage,604999,Bobbi,Belize,Belize Islands,17.738116,-88.028534,Entire home/apt,197,2,85,2024-07-30,0.79,19,311,15,
152512,"Toucan-kit, ac, wifi, bike, tropical gardens, pool",733857,Jacqueline Ann,Stann Creek,Stann Creek Mainland,16.52693,-88.36864,Entire home/apt,252,7,73,2024-03-25,0.46,5,127,2,
152922,rent a private room in a house,735525,Jennifer,Cayo,Cayo,17.25428,-88.76771,Private room,52,1,12,2024-04-13,0.11,1,359,1,
171294,King Deluxe,817242,Michael,Cayo,Cayo,17.16427,-89.06909,Private room,,1,44,2024-02-12,0.33,7,299,1,
171301,Cabana in a Rainforest Setting,817242,Michael,Cayo,Cayo,17.16435,-89.06896,Entire home/apt,270,1,116,2024-12-16,0.88,7,251,9,
254291,Finca Placencia oceanfront Private Beach House,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53274,-88.35957,Entire home/apt,245,1,150,2024-12-25,0.98,4,295,11,
261882,Finca Placencia Beachfront treetop cabana,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53168,-88.36014,Entire home/apt,208,1,189,2024-04-20,1.21,4,327,5,
308361,Villa San Juan,1586187,Jorge Omar,Cayo,Cayo,17.25719,-88.77812,Private room,232,1,14,2024-11-26,0.11,1,350,3,
415419,Triple Room for Group Travel,2066467,Marta,Cayo,Cayo,17.24892,-88.76021,Private room,135,2,10,2017-09-15,0.07,4,364,0,
419134,"Stay on a Maya Site, 100 Acres Jungle, by ATM Cave",2084006,Lower Dover Jungle Lodge,Cayo,Cayo,17.208763122558594,-88.94560241699219,Private room,246,1,25,2023-05-13,0.19,7,344,0,
580189,Howler House: A romantic riverside treehouse,190152663,Shanna,Belize,Belize Mainland,17.57331,-88.39648,Entire home/apt,180,1,214,2024-12-22,1.48,5,329,28,
591211,Casa Belize - Cozy Studio Apartment,2917510,Carolyn,Belize,Belize Mainland,17.51173,-88.22397,Entire home/apt,161,1,37,2024-05-06,0.26,6,80,6,
597282,Sunny Cabana,157752,Monique,Belize,Belize Islands,17.7361,-88.02777,Entire home/apt,131,3,242,2024-12-07,1.66,4,262,12,
601962,"Royal Palm-2 bed/2 bath- ac, 5G wifi, bikes, pool",733857,Jacqueline Ann,Stann Creek,Stann Creek Mainland,16.52566,-88.37085,Entire home/apt,374,7,56,2024-03-12,0.39,5,122,3,
736308,Waterfront Casita! We are Gold Standard Certified!,3843219,Pernell,Corozal,Corozal,18.32931,-88.32932,Entire home/apt,402,5,40,2023-06-11,0.30,1,365,0,
788130,Home Away From Home Desirable Area,2917510,Carolyn,Belize,Belize Mainland,17.51103,-88.22488,Entire home/apt,418,1,128,2024-12-26,1.09,6,6,25,
985520,Comfy Cabana Tropical Caye Caulker,2267459,Tropical Dreams,Belize,Belize Islands,17.7409,-88.02666,Entire home/apt,253,2,300,2024-12-19,2.25,4,295,41,
1035815,The Great House at Rum Point !,5701805,Martin,Stann Creek,Stann Creek Mainland,16.53838,-88.35821,Entire home/apt,1715,2,4,2024-11-25,0.40,1,322,4,
1051976,Newly Renovated Family Apartment-Casa Fabro Belize,5792357,Teresita,Belize,Belize Mainland,17.4899,-88.18759,Entire home/apt,235,2,139,2024-12-16,1.14,1,322,28,
1111731,"Sail Belize on Doris, a 50ft Lagoon 500 Catamaran",6101757,Clifford,Belize,Belize Mainland,17.47097,-88.24955,Entire home/apt,,4,0,,,3,0,0,
1134718,"Bay Breezes apt #1, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,131,1,156,2024-08-16,1.13,11,334,11,
1135021,"Bay Breezes apt #3, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,192,2024-08-05,1.35,11,324,12,
1135078,"Bay Breezes apt #4, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,89,1,171,2024-12-10,1.26,11,320,13,
1155995,Weezie's Purple Cottage with a pool,6334784,Tom,Belize,Belize Islands,17.73727,-88.02978,Entire home/apt,484,1,21,2024-12-07,0.15,12,183,1,
1177282,Belize Waterfront - Orchid Bay Casita 9A,89385464,Tradewinds,Corozal,Corozal,18.32853,-88.32882,Entire home/apt,404,2,39,2024-11-27,0.29,3,262,1,
1187309,Casa Belize Modern 2 Bedroom Apartment,2917510,Carolyn,Belize,Belize Mainland,17.50913,-88.22399,Entire home/apt,262,1,37,2024-12-20,0.37,6,104,5,
1305154,*Picololo North Studio Apartment,727841,Hilary & Pike,Belize,Belize Islands,17.73786,-88.02817,Entire home/apt,202,3,261,2024-12-19,1.94,5,112,27,
1307280,Picololo South Studio Apartment,727841,Hilary & Pike,Belize,Belize Islands,17.73791,-88.02814,Entire home/apt,202,3,294,2024-11-25,2.20,5,89,24,
1307349,Piquitololo Cabin at Picololo,727841,Hilary & Pike,Belize,Belize Islands,17.73805,-88.02828,Entire home/apt,195,3,262,2024-12-20,1.96,5,95,31,
1432085,Hummingbird Pool House 2 bedroom cabin,604999,Bobbi,Belize,Belize Islands,17.73675,-88.0285,Entire home/apt,331,1,111,2024-12-14,0.88,19,276,10,
1443152,The penthouse! Very private. AC. Fast Wi-Fi,3726010,Diana,Belize,Belize Islands,17.910810470581055,-87.97423553466797,Entire home/apt,224,1,289,2024-11-04,2.13,8,329,14,
1503151,Weezie's Pink Cottage with a pool,6334784,Tom,Belize,Belize Islands,17.73705,-88.02773,Entire home/apt,605,2,27,2024-11-07,0.23,12,178,1,
1572640,Hummingbird Pink 2 bedroom detached cabin,604999,Bobbi,Belize,Belize Islands,17.73698,-88.02831,Entire home/apt,341,2,110,2024-12-04,0.93,19,258,23,
1635819,The Bottle Tree House (formerly Villa Almendra),8690154,J. David,Belize,Belize Islands,17.7373,-88.02811,Entire home/apt,321,2,60,2024-08-06,0.58,1,0,10,
1707764,"C1 Porch, beach, pool, bikes, kayaks! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,628,3,23,2024-02-23,0.19,26,252,2,
1798242,Chila's  Beach View Studio,9430792,Chila,Belize,Belize Islands,17.7477,-88.02395,Entire home/apt,172,3,277,2024-12-26,2.07,4,265,21,
1802882,Tourism Gold Standard Bamboleo Inn  by the Airport,9451825,Colin,Belize,Belize Mainland,17.55869,-88.28442,Hotel room,,1,12,2024-05-12,0.10,6,0,3,
1847763,"B2 Beach, bikes, kayaks, pool! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,628,3,36,2024-12-20,0.33,26,256,11,
1877094,"A6 Beach, bikes, kayaks, pool! 3BR",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,628,3,26,2023-01-09,0.20,26,286,0,
1958217,"A2 1BR-pool, beach, kayaks, bikes!",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,468,3,29,2024-01-05,0.25,26,282,1,
1959706,"C3 Balcony, kayaks, bikes, beach, pool! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.88981,-87.97981,Entire home/apt,628,3,51,2024-10-10,0.39,26,260,8,
1982878,Tourism Gold Standard Bamboleo Inn  by the Airport,9451825,Colin,Belize,Belize Mainland,17.5581,-88.28584,Hotel room,,1,76,2024-02-24,0.57,6,0,5,
2050451,Weezie's Yellow Cottage with pool,6334784,Tom,Belize,Belize Islands,17.73823,-88.02852,Entire home/apt,757,3,29,2024-11-25,0.22,12,150,3,
2060320,Marin's Guesthouse Sun Units,10546084,Michele,Belize,Belize Islands,17.74053,-88.02483,Entire home/apt,151,2,51,2020-03-09,0.39,8,0,0,
2095863,Beautiful ArtisticTropical Home,10691980,Christopher,Toledo,Toledo Mainland,16.09454,-88.92282,Entire home/apt,,2,0,,,1,0,0,
2145564,A Kool Room,2066467,Marta,Cayo,Cayo,17.24995,-88.76157,Entire home/apt,122,2,26,2017-05-04,0.20,4,364,0,
2159828,Bright room with own bathroom,2066467,Marta,Cayo,Cayo,17.25046,-88.76157,Private room,86,7,9,2022-02-01,0.07,4,178,0,
2208686,The Chapel Bungalow @ Maruba Resort,10700587,Franziska,Belize,Belize Mainland,17.91385,-88.34251,Entire home/apt,684,1,1,2017-01-18,0.01,1,365,0,
2278939,"Oceanfront, Beachfront, Best Views! Rooftop Deck.",380888,Linda,Belize,Belize Islands,17.73023,-88.03719,Entire home/apt,282,2,26,2024-12-11,0.20,1,323,3,
2303896,"Sunrise/Sunset w/veranda-kit, ac, WIFI, pool, bike",733857,Jacqueline Ann,Stann Creek,Stann Creek Mainland,16.5253,-88.37041,Entire home/apt,,7,18,2024-03-18,0.17,5,15,2,
2413466,"A3 1BR pool, beach, & sea out front door!",1120393,Barbara,Belize,Belize Islands,17.89048,-87.97984,Entire home/apt,468,3,15,2024-05-26,0.12,26,297,3,
2419476,"C2 Balcony, beach, pool, bikes, kayaks! 3BR/2BA",1120393,Barbara,Belize,Belize Islands,17.89115,-87.97997,Entire home/apt,628,3,15,2024-06-30,0.12,26,252,3,
2471874,Modern 1 BD With All Amenities,2917510,Carolyn,Belize,Belize Mainland,17.5099,-88.2256,Entire home/apt,246,1,9,2023-07-18,0.07,6,162,0,
2473882,Cottage,817242,Michael,Cayo,Cayo,17.16541,-89.0701,Private room,270,1,75,2024-02-11,0.62,7,251,1,
2526081,Beachfront Blue Moon Cabana,12934670,Mirko,Stann Creek,Stann Creek Mainland,16.86145,-88.28379,Entire home/apt,333,3,23,2024-09-06,0.27,2,299,4,
2559009,"Oceanfront, dock/pool/AC-Lauras Lookout-3 bed/2 ba",13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,355,1,103,2024-12-14,0.79,19,271,8,
2559733,Oceanfront 2 bed w/dock/pool/AC-free paddle boards,13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,617,1,67,2024-12-19,0.52,19,278,10,
2597828,"A4: Bikes, kayaks, beach, pool, more! 2BR+loft",1120393,Barbara,Belize,Belize Islands,17.89207,-87.97903,Entire home/apt,628,3,27,2024-12-02,0.23,26,276,4,
2607709,"B1 Beach, porch, pool, bikes, kayaks! 3BR",1120393,Barbara,Belize,Belize Islands,17.89198,-87.97914,Entire home/apt,628,3,59,2024-12-22,0.50,26,269,12,
2617750,Villa Boscardi-1 Bedroom King Suite,13406334,Francoise,Belize,Belize Mainland,17.51494,-88.21504,Private room,291,1,96,2024-08-05,0.74,8,309,1,
2677601,Finca Beachfront House and Cabana-2 dwellings,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53013,-88.36113,Entire home/apt,424,2,21,2023-04-17,0.17,4,284,0,
2746814,OASI Apartment Rentals Apt #4,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,252,2,182,2024-11-07,1.50,4,295,24,
2751904,OASI Apartment Rentals Apt #3,14053182,Luciana,Belize,Belize Islands,17.73585,-88.02804,Entire home/apt,252,2,146,2024-08-18,1.16,4,309,14,
2752709,Cosmopolitan Guest House,14080482,Emily Peggy,Stann Creek,Stann Creek Mainland,16.851980209350586,-88.2794189453125,Private room,135,1,51,2024-01-24,0.40,3,182,3,
2811841,OASI Apartment Rentals Apt #1,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,218,2,172,2024-12-23,1.33,4,286,34,
2947838,Dolce Cabana cozy 1BR with full kitchen & pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.5207,-88.37208,Entire home/apt,180,3,111,2024-01-19,0.94,3,0,3,
2967946,Oceanview/pool/Dock/AC-Barbaras Beach House-3 bed,13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,1096,1,125,2024-12-26,0.97,19,266,13,
3220246,Axios Nice 1Bedroom with A/C+WiFi,9968080,Alexis & Scott,Belize,Belize Islands,17.74357,-88.025,Entire home/apt,143,1,127,2024-08-10,0.99,7,305,4,
3307135,"A5 Beach, balconies, views, pool & more! 2BR+loft",1120393,Barbara,Belize,Belize Islands,17.8922,-87.97889,Entire home/apt,628,3,3,2024-12-13,0.04,26,268,2,
3440100,Axios Caye Caulker Apartment w AC,9968080,Alexis & Scott,Belize,Belize Islands,17.743789672851562,-88.0241928100586,Entire home/apt,166,1,132,2024-12-12,1.03,7,324,17,
3594049,#12 Gran Mestizo Premium Riverside Cabin,18105807,Orlando,Orange Walk,Orange Walk,18.06982,-88.55494,Entire home/apt,180,1,65,2024-09-22,0.53,3,248,7,
3702090,Waterfront 6 BR Villa w/ Private Plunge Pool,8003973,Corrina,Belize,Belize Islands,17.92407,-87.98185,Entire home/apt,2407,3,59,2024-10-14,0.53,17,280,11,
3704445,OASI Apartment Rentals Apt #2,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,242,2,246,2024-12-20,2.01,4,289,28,
3789407,"Blue Tang Inn, San Pedro, Ambergris Caye",19450284,Kristin,Belize,Belize Islands,17.92095184326172,-87.96076965332031,Private room,,1,34,2024-03-23,0.35,3,0,6,
3849201,Spare Room,817242,Michael,Cayo,Cayo,17.16411,-89.0691,Private room,140,1,127,2020-02-28,1.02,7,16,0,
3904267,Hummingbird Purple 1st floor tiny house,604999,Bobbi,Belize,Belize Islands,17.73696,-88.02821,Entire home/apt,301,2,108,2024-11-16,0.86,19,67,9,
3905945,"Hummingbird Annex, tiny house by pool",604999,Bobbi,Belize,Belize Islands,17.73609,-88.02876,Entire home/apt,286,2,103,2024-04-10,0.84,19,8,3,
3930450,Casita Verde,817242,Michael,Cayo,Cayo,17.1639,-89.06947,Entire home/apt,434,1,33,2024-03-31,0.26,7,314,3,
4121595,Cozy 2 BDR cabana with pool and A/C - Starfish,2267459,Tropical Dreams,Belize,Belize Islands,17.7415,-88.02691,Entire home/apt,272,2,229,2024-11-28,1.88,4,246,31,
4121839,One BDR Cabana w/ full kitchen and pool - Conch,2267459,Tropical Dreams,Belize,Belize Islands,17.73767,-88.02804,Entire home/apt,101,2,130,2024-12-24,1.07,4,239,26,
4172736,Dolce Cabana spacious 1BR waterfront with pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.52076,-88.3721,Entire home/apt,192,3,107,2023-10-15,0.88,3,0,0,
4190986,Beachfront Baby Blue Cabana,12934670,Mirko,Stann Creek,Stann Creek Mainland,16.85972,-88.28187,Entire home/apt,218,2,19,2024-11-29,0.20,2,313,7,
4208385,"Multiple beach condos-great for groups, weddings!",1120393,Barbara,Belize,Belize Islands,17.89232,-87.9789,Entire home/apt,1571,3,12,2024-05-11,0.11,26,302,1,
4224906,Private Caribbean Seafront Luxury Villa with Pool,10998068,Herbert,Stann Creek,Stann Creek Mainland,16.65661,-88.31202,Entire home/apt,1110,3,29,2024-02-16,0.30,10,293,1,
4262174,Tropical jungle experience in Maya Beach,22121955,Herbert,Stann Creek,Stann Creek Mainland,16.61048,-88.35514,Entire home/apt,202,4,31,2024-07-20,0.25,3,307,3,
4304743,Family room on huge jungle property + Maya site,2084006,Lower Dover Jungle Lodge,Cayo,Cayo,17.214599609375,-88.9488754272461,Private room,86,1,1,2020-02-10,0.02,7,0,0,
4333646,Casa Blanca 2BR Seaview Apartment at Coconut Row,22501021,Damian,Stann Creek,Stann Creek Mainland,16.862855911254883,-88.28373718261719,Entire home/apt,876,1,18,2022-11-30,0.16,5,159,0,
4416397,Parrot Nest Treehouse 1 (Gold Standard),22923135,Parrot Nest,Cayo,Cayo,17.174,-89.10828,Private room,117,2,256,2024-12-02,2.10,8,331,13,
4454404,Weezie's Oceanfront Hotel Penthouse,6334784,Tom,Belize,Belize Islands,17.73529,-88.02708,Entire home/apt,958,1,18,2024-05-19,0.15,12,173,1,
4491461,Seaside Suite Sustainable Infinity Pool A/C & TV,23299192,James,Belize,Belize Islands,17.72935,-88.03591,Entire home/apt,363,4,50,2024-11-17,0.41,2,299,15,
4532384,Private Riverside Farm Home,23499058,Alianaʼs,Cayo,Cayo,17.17629,-89.09526,Entire home/apt,402,2,129,2024-04-14,1.08,3,344,5,
4628150,"Latitude 17- North Cabana, Hopkins Village, Belize",23969147,Wade,Stann Creek,Stann Creek Mainland,16.86099,-88.28348,Private room,240,1,46,2024-09-18,0.38,5,296,6,
4676589,Gigantic lovely room and home awaits you!,24187672,Maria,Cayo,Cayo,17.1582,-89.0673,Private room,,1,207,2024-12-05,1.70,1,343,15,
4744010,Gold Standard Beachfront Private Room - Reef Shark,24272181,Brittney,Belize,Belize Islands,17.92457,-87.96047,Hotel room,178,1,113,2024-12-02,0.93,1,312,12,
4764996,Weezie's Oceanfront Hotel Standard Room,6334784,Tom,Belize,Belize Islands,17.73588,-88.02691,Hotel room,323,1,89,2024-12-01,0.73,12,159,10,
4774977,"Oceanfront Villa, Infinity Pool, dock, A/C & TV",23299192,James,Belize,Belize Islands,17.72874895662261,-88.03573549391315,Entire home/apt,504,4,16,2024-10-09,0.14,2,182,1,
4853657,Bougainvillea Beach House GOLD STANDARD CERTIFIED,24970020,Greta,Stann Creek,Stann Creek Mainland,16.65949,-88.31157,Entire home/apt,526,7,33,2024-03-07,0.45,1,295,2,
4865826,Baby Bungalow!,2134916,Kathrina,Belize,Belize Islands,17.73986,-88.02494,Entire home/apt,,2,134,2020-03-11,1.10,1,0,0,
4880194,Romantic vacation on the river,25105475,Mahogany,Cayo,Cayo,17.16794,-89.1185,Private room,,2,0,,,1,365,0,
4974742,Casa Redonda Private Home 4 Bedrooms/2 baths,25643683,Malcolm,Belize,Belize Islands,17.87862,-87.99524,Entire home/apt,943,3,15,2024-04-17,0.14,3,251,2,
4997035,Private room with AC and spa waterfall shower!,3726010,Diana,Belize,Belize Islands,17.910724639892578,-87.97432708740234,Private room,155,1,247,2024-08-12,2.06,8,332,8,
5036440,Marbucks #1 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.9408,-87.94735,Hotel room,402,1,93,2024-03-10,0.78,4,319,2,
5081251,Modern 1 Bed Apartment in Belize (Casa Bella),8554313,Ricky,Belize,Belize Mainland,17.51483,-88.22391,Entire home/apt,161,2,108,2024-12-16,0.90,15,10,23,
5094589,"Relaxing Private Villa, Belize",26323792,Marlon,Belize,Belize Mainland,17.43785,-88.4056,Entire home/apt,151,1,9,2024-09-09,0.40,1,355,5,
5146251,"Stay on a Maya Site, 100 Acres Jungle, by ATM Cave",2084006,Lower Dover Jungle Lodge,Cayo,Cayo,17.213287353515625,-88.94599914550781,Private room,212,1,0,,,7,341,0,
5261351,The Jungle Cabana at Jaguar Creek,27234580,Jaguar Creek,Cayo,Cayo,17.16087,-88.67776,Private room,388,1,90,2024-11-06,0.76,4,284,10,
5267333,The Palms 2 Bedroom Suite at Jaguar Creek,27234580,Jaguar Creek,Cayo,Cayo,17.1609,-88.6775,Entire home/apt,,1,18,2024-02-25,0.15,4,276,1,
5305836,Dolce Cabana spacious 1BR with full kitchen & pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.52141,-88.37087,Entire home/apt,200,3,68,2023-12-22,0.68,3,0,0,
5371049,Comfy Apartment: Turtle Bay Villa 1bd/1bath apt,27842054,Belize Tropical Dream Villas,Belize,Belize Islands,17.9128,-87.96898,Entire home/apt,272,1,43,2024-11-14,0.37,6,284,10,
5531325,Caribbean Villas -Lofted Suite,28461667,Beth,Belize,Belize Islands,17.90618,-87.9738,Private room,757,3,49,2024-05-04,0.45,3,321,6,
5557762,Marbucks #2 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.94331,-87.94734,Hotel room,435,1,77,2024-12-11,0.68,4,306,7,
5558925,Marbucks #3 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.94294,-87.94646,Hotel room,399,2,86,2024-05-25,0.72,4,299,3,
5576163,Marbucks #4 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.94026,-87.94711,Entire home/apt,,2,70,2024-06-01,0.59,4,296,4,
5717367,Comfortable and Ecological Camping,29641332,Kaissa,Cayo,Cayo,17.05426,-89.11307,Entire home/apt,,1,6,2017-10-16,0.05,1,0,0,
